THE_BAD_WORD,IGNORE_IN_COMBINATION_WITH
-----EXAMPLE-----,
-----APPS-----,
whatsapp,
fuck,
fuck,
kiss my ass,
ass,
hell,
he1l,
hel1,
h e l l,
h e 1 l ,
kill,
fuck your,
fuck your mother,
fuck your father,
